epoch,accuracy,loss,val_accuracy,val_loss
0,0.9888985753059387,0.03840436786413193,0.8872403502464294,0.34622126817703247
1,0.9943163990974426,0.01758265495300293,0.9042202234268188,0.25579923391342163
2,0.9956581592559814,0.013343044556677341,0.9066930413246155,0.3532044291496277
3,0.9965569376945496,0.011051305569708347,0.9155126810073853,0.35009765625
4,0.9968607425689697,0.010030176490545273,0.8969666957855225,0.3637057840824127
5,0.9970885515213013,0.008693751879036427,0.8818001747131348,0.40958547592163086
6,0.9970759153366089,0.008821792900562286,0.8925980925559998,0.49847695231437683
7,0.997379720211029,0.007853559218347073,0.8874876499176025,0.6011521220207214
8,0.9976581931114197,0.007062091957777739,0.8947411775588989,0.529392659664154
9,0.9977720975875854,0.0069962418638169765,0.8807286620140076,0.5565023422241211
10,0.9974936246871948,0.007507970090955496,0.8971315622329712,0.6331919431686401
11,0.9976455569267273,0.006427570711821318,0.8876525163650513,0.74819415807724
12,0.9977341294288635,0.006085188128054142,0.8937520384788513,0.8013908267021179
13,0.9977468252182007,0.00637873075902462,0.8997691869735718,0.7992927432060242
14,0.9980885982513428,0.005737852305173874,0.8794098496437073,0.8665282726287842
15,0.9981392025947571,0.005217050667852163,0.8887240290641785,1.1556941270828247
16,0.9981265664100647,0.00568179739639163,0.8899604082107544,0.7891639471054077
17,0.9981645345687866,0.005170565098524094,0.8934223651885986,0.814251184463501
18,0.9982404708862305,0.004640727303922176,0.8818826079368591,0.9822457432746887
19,0.9981645345687866,0.005162135697901249,0.8869106769561768,1.0302225351333618
20,0.998354434967041,0.00486147403717041,0.8861688375473022,1.1630537509918213
21,0.9983924031257629,0.0046337987296283245,0.8810583353042603,1.1139990091323853
22,0.9983797073364258,0.004476560279726982,0.8830366134643555,1.1192296743392944
23,0.9983164072036743,0.004480220843106508,0.8808935284614563,1.3704829216003418
24,0.9983797073364258,0.0045493654906749725,0.8961424231529236,1.037447214126587
25,0.9981518983840942,0.005144201684743166,0.8917738199234009,1.0364834070205688
26,0.9985949397087097,0.0038339009042829275,0.8930101990699768,1.098201870918274
27,0.9985822439193726,0.003668318735435605,0.9065281748771667,0.9884984493255615
28,0.9984683394432068,0.004021164029836655,0.8880646228790283,1.496829628944397
29,0.9985696077346802,0.004374495707452297,0.8971315622329712,1.4693970680236816
30,0.9986329078674316,0.003605503588914871,0.8855918049812317,1.7241747379302979
31,0.9987088441848755,0.003639806993305683,0.885262131690979,1.5548527240753174
32,0.9986962080001831,0.0034592761658132076,0.8855918049812317,1.6073521375656128
33,0.9985442757606506,0.0037225354462862015,0.8869106769561768,1.9014406204223633
34,0.9984557032585144,0.003928853198885918,0.8935872316360474,1.4034337997436523
35,0.9986582398414612,0.003697119653224945,0.903231143951416,1.158951759338379
36,0.9986202120780945,0.003555336268618703,0.8870754837989807,1.594796895980835
37,0.9986202120780945,0.0035511208698153496,0.887982189655304,1.870565414428711
38,0.9984683394432068,0.0037969013210386038,0.8865809440612793,1.6722581386566162
39,0.9985696077346802,0.0036697087343782187,0.8892185688018799,1.9078693389892578
40,0.9985442757606506,0.004851777106523514,0.888229489326477,1.954329252243042
41,0.9986075758934021,0.0035027186386287212,0.8844378590583801,1.7117997407913208
42,0.9986329078674316,0.0036703129298985004,0.8774315714836121,2.1106011867523193
43,0.9987847805023193,0.003050807397812605,0.8799868226051331,2.0908522605895996
44,0.9987468123435974,0.003320649964734912,0.8902901411056519,1.8774948120117188
45,0.9987468123435974,0.004276048392057419,0.889465868473053,2.376509666442871
46,0.9986708760261536,0.0033317203633487225,0.8893834352493286,1.760872721672058
47,0.9986708760261536,0.003933677915483713,0.9054566621780396,1.5818003416061401
48,0.9986962080001831,0.0035751548130065203,0.8922683596611023,1.9535834789276123
