epoch,auc,loss,val_auc,val_loss
0,0.9959608912467957,0.006746008060872555,0.5587739944458008,3.794188976287842
1,0.9954928755760193,0.006866917945444584,0.6034407615661621,3.2198143005371094
2,0.9990231990814209,0.006222348194569349,0.5402321815490723,4.244688510894775
3,0.9975388646125793,0.007026162929832935,0.625447690486908,3.416841506958008
4,0.9975520372390747,0.0061044408939778805,0.5510008931159973,4.66544771194458
5,0.9986376762390137,0.0055897231213748455,0.5155795812606812,4.5481038093566895
6,0.9971399903297424,0.005437403917312622,0.5527170300483704,4.606317043304443
7,0.9976603388786316,0.005665169563144445,0.548701822757721,4.874843597412109
8,0.9971935749053955,0.005344782490283251,0.5363611578941345,4.640814304351807
9,0.9966992735862732,0.00509003596380353,0.5403932332992554,4.73115348815918
10,0.997172474861145,0.005527608096599579,0.6059853434562683,3.8535678386688232
11,0.9976993203163147,0.005168525036424398,0.5519407987594604,4.367619037628174
12,0.9972422122955322,0.004854464903473854,0.5810884833335876,4.798859119415283
13,0.9982256293296814,0.0048074256628751755,0.5836968421936035,4.684657573699951
14,0.9987847805023193,0.004418958909809589,0.5697401165962219,4.284137725830078
15,0.9987246990203857,0.004865908529609442,0.5214681625366211,5.68226957321167
16,0.9972882270812988,0.00463858200237155,0.5258004665374756,5.737521648406982
17,0.999290943145752,0.004200261551886797,0.5493557453155518,5.9143147468566895
18,0.9977889060974121,0.004358186386525631,0.6074854731559753,3.7772655487060547
19,0.9987778663635254,0.0043952567502856255,0.5516350269317627,5.349009990692139
20,0.9993380308151245,0.0036962064914405346,0.5737574696540833,5.206605911254883
21,0.9988035559654236,0.004104178864508867,0.5406464338302612,5.329098701477051
22,0.9977761507034302,0.004463663324713707,0.5617643594741821,5.828814506530762
23,0.9998266696929932,0.003871955443173647,0.5435173511505127,6.7620625495910645
24,0.99730384349823,0.004497094079852104,0.5500378608703613,5.555675029754639
25,0.9993837475776672,0.003301459364593029,0.5837684273719788,5.9006500244140625
26,0.9993376135826111,0.003846854204311967,0.5632248520851135,6.877501964569092
27,0.9978190660476685,0.004015006124973297,0.5605714917182922,6.1183013916015625
28,0.9988517165184021,0.003587998915463686,0.5661212205886841,6.126915454864502
29,0.9993668794631958,0.0034551634453237057,0.5937098860740662,5.731339454650879
30,0.9988514184951782,0.003634636290371418,0.5372647047042847,7.521221160888672
31,0.9988071322441101,0.004420448560267687,0.5568557977676392,6.854747295379639
32,0.9973165392875671,0.0041201445274055,0.5712597370147705,6.545320510864258
33,0.9988574385643005,0.0037361267022788525,0.5536683201789856,7.356858253479004
34,0.9988494515419006,0.0037047332152724266,0.559790313243866,6.874737739562988
35,0.9988340139389038,0.003783839289098978,0.5795218348503113,5.201041221618652
36,0.9983582496643066,0.0036750880535691977,0.5669344067573547,6.045255661010742
